any,cif,nom,quantia,tipus_subvencio
2022,G46173027,46036891,20591.99,A_escoles_no_formals
2022,G96900287,46023821,21732.0,A_escoles_no_formals
2022,G46401535,46021551,23692.22,A_escoles_no_formals
2022,G03429388,03014204,37331.78,A_escoles_no_formals
2022,G03101094,03021142,15700.43,A_escoles_no_formals
2022,G96360573,46020959,30586.61,A_escoles_no_formals
2022,G96337654,46021022,43593.75,A_escoles_no_formals
2022,G12237574,12005830,5718.67,A_escoles_no_formals
2022,G96363395,46021162,13663.45,A_escoles_no_formals
2022,G97789960,46021563,43768.74,A_escoles_no_formals
2022,G46174967,46030394,5594.86,A_escoles_no_formals
2022,G97492839,46031052,74678.03,A_escoles_no_formals
2022,G96210927,46023811,22064.26,A_escoles_no_formals
2022,G98799232,46036074,10882.65,A_escoles_no_formals
2022,G97747372,46031970,18441.14,A_escoles_no_formals
2022,G03151081,03015026,22329.75,A_escoles_no_formals
2022,G03347499,03017163,5644.75,A_escoles_no_formals
2022,G03137171,03019986,37612.62,A_escoles_no_formals
2022,G03165875,03015762,92828.43,A_escoles_no_formals
2022,G12044798,12006111,19427.25,A_escoles_no_formals
2022,G12343349,12005209,7233.28,A_escoles_no_formals
2022,G12302139,12006020,37644.27,A_escoles_no_formals
2022,G03971058,03014034,38597.59,A_escoles_no_formals
2022,G03054475,03020034,43595.69,A_escoles_no_formals
2022,G53176038,03018908,14252.52,A_escoles_no_formals
2022,G96357744,46021010,37005.07,A_escoles_no_formals
2022,G12035671,12006032,40432.23,A_escoles_no_formals
2022,G46136313,46036736,3714.03,A_escoles_no_formals
2022,G46147278,46035801,42109.74,A_escoles_no_formals
2022,G46188116,46021265,17581.51,A_escoles_no_formals
2022,G97133136,46025362,20677.31,A_escoles_no_formals
2022,G12036331,12005222,6584.99,A_escoles_no_formals
2022,G46173175,46021216,12194.35,A_escoles_no_formals
2022,G46175154,46020662,9454.43,A_escoles_no_formals
2022,G46192654,46018801,50910.7,A_escoles_no_formals
2022,G12232831,12005234,20487.1,A_escoles_no_formals
2022,G46107009,46019556,54530.05,A_escoles_no_formals
2022,G46065413,46033711,48711.44,A_escoles_no_formals
2022,G03100302,03020496,17129.95,A_escoles_no_formals
2022,G03505385,03020812,20449.83,A_escoles_no_formals
2022,G96454434,46021599,24358.26,A_escoles_no_formals
2022,G46232989,46020753,9494.5,A_escoles_no_formals
2022,G96968854,46036530,20008.66,A_escoles_no_formals
2022,G46555157,46036955,28593.49,A_escoles_no_formals
2022,G96029764,46022075,13000.38,A_escoles_no_formals
2022,G96364625,46021095,20844.54,A_escoles_no_formals
2022,G96619929,46031015,51834.78,A_escoles_no_formals
2022,G96777065,46022798,40464.02,A_escoles_no_formals
2022,G96416961,46023845,34696.08,A_escoles_no_formals
2022,G97598312,46026913,35454.64,A_escoles_no_formals
2022,R4600258J,46022051,48607.16,A_escoles_no_formals
2022,G98183924,46036301,12372.0,A_escoles_no_formals
2022,G98763352,46036591,7891.35,A_escoles_no_formals
2022,G96688833,46022002,4566.28,A_escoles_no_formals
2022,G96330444,46026241,11866.9,A_escoles_no_formals
2022,G96334693,46021101,55903.03,A_escoles_no_formals
2022,G96903646,46021150,37395.75,A_escoles_no_formals
2022,G46001947,46036669,62141.39,A_escoles_no_formals
2022,G96358452,46036712,36031.4,A_escoles_no_formals
2022,G46174843,46024692,52280.33,A_escoles_no_formals
2022,G97127153,46025374,48124.81,A_escoles_no_formals
2022,G46128575,46036293,39877.21,A_escoles_no_formals
2022,G96398003,46030370,102298.02,A_escoles_no_formals
2022,G46577250,46029513,32985.94,A_escoles_no_formals
2022,G96746813,46022804,15862.43,A_escoles_no_formals
2022,G46390506,46036359,11070.36,A_escoles_no_formals
2022,G46065363,46021605,79848.05,A_escoles_no_formals
2022,R28025258,46023857,72796.12,A_escoles_no_formals
2022,G96172408,46020868,17892.62,A_escoles_no_formals
2022,G98287618,46033528,68167.02,A_escoles_no_formals
2022,G12296455,12005842,13217.38,A_escoles_no_formals
2022,G12035721,12005192,49207.4,A_escoles_no_formals
2022,G12391058,12005258,53467.69,A_escoles_no_formals
2022,G53385985,03015774,11874.36,A_escoles_no_formals
2022,G46172888,46020960,26861.4,A_escoles_no_formals
2022,G03114725,03012751,14463.57,A_escoles_no_formals
2022,G54387873,03020541,28217.46,A_escoles_no_formals
2022,G12100004,12006044,37606.29,A_escoles_no_formals
2022,G12038139,12006123,24392.85,A_escoles_no_formals
2022,G46356093,46024680,18039.05,A_escoles_no_formals
2022,G12382057,12005210,1779.85,A_escoles_no_formals
2022,G03887668,03018167,30047.87,A_escoles_no_formals
2022,G46087805,46023833,28615.46,A_escoles_no_formals
2022,G03855921,03020861,46219.4,A_escoles_no_formals
2022,G46158192,46036578,17051.4,A_escoles_no_formals
2022,G12807426,12007693,54116.94,A_escoles_no_formals
2022,G12039350,12005477,38145.3,A_escoles_no_formals
2022,G12035754,12006135,16250.58,A_escoles_no_formals
2022,G46109476,46022014,50604.61,A_escoles_no_formals
2022,G96336607,46020901,30745.92,A_escoles_no_formals
2022,G46191615,46036773,15907.88,A_escoles_no_formals
2022,G96365572,46021228,22918.17,A_escoles_no_formals
2023,P0304000C,03014332,34520.4,A_escoles_no_formals
2023,P0304100A,03011446,95424.18,A_escoles_no_formals
2023,P03042001,03017151,70994.06,A_escoles_no_formals
2023,P0307100H,03014319,28971.53,A_escoles_no_formals
2023,P03141001,03014198,52983.47,A_escoles_no_formals
2023,P0309700C,03015439,43354.05,A_escoles_no_formals
2023,P0310100C,03013947,89825.51,A_escoles_no_formals
2023,P0311600A,03015750,31483.9,A_escoles_no_formals
2023,P0308100G,03017175,38207.57,A_escoles_no_formals
2023,P1201000E,12005854,11421.52,A_escoles_no_formals
2023,Q1200347A,12004813,93324.69,A_escoles_no_formals
2023,P1200016B,12005829,30484.47,A_escoles_no_formals
2023,P1200010E,12005337,67587.27,A_escoles_no_formals
2023,P4604200H,46018606,39533.57,A_escoles_no_formals
2023,P46150001,46031994,15045.71,A_escoles_no_formals
2023,P4616600E,46020996,39299.32,A_escoles_no_formals
2023,G97499198,46029434,20495.95,A_escoles_no_formals
2023,G46168530,46020561,18570.39,A_escoles_no_formals
2023,G03980810,03013959,19679.82,A_escoles_no_formals
2023,G03984846,03014071,17839.52,A_escoles_no_formals
2023,G03744588,03014952,67439.24,A_escoles_no_formals
2023,G03176724,03020605,21167.95,A_escoles_no_formals
2023,G54038773,03020551,31201.91,A_escoles_no_formals
2023,G03067550,03017539,17034.87,A_escoles_no_formals
2023,G46274056,46019696,43784.4,A_escoles_no_formals
2023,G98459431,46021459,35230.0,A_escoles_no_formals
2023,G96106935,46023687,12502.12,A_escoles_no_formals
2023,G46172268,46021241,21331.79,A_escoles_no_formals
2023,G96928643,46023699,21621.52,A_escoles_no_formals
2023,G46416525,46036906,14524.69,A_escoles_no_formals
2023,G03984721,03014022,25720.41,A_escoles_no_formals
2023,G03701877,03018155,5820.72,A_escoles_no_formals
2023,G12035804,12005982,20319.6,A_escoles_no_formals
2023,G97032205,46025271,5373.02,A_escoles_no_formals
2023,V46171724,46036670,25978.28,A_escoles_no_formals
2023,G12212874,12005313,13669.99,A_escoles_no_formals
2023,G96370135,46020881,28503.89,A_escoles_no_formals
2023,G42613976,03021695,33896.73,A_escoles_no_formals
2023,G12246724,12005994,44550.26,A_escoles_no_formals
2023,G46172508,46036581,13843.28,A_escoles_no_formals
2023,G46065561,46031064,24864.79,A_escoles_no_formals
2023,G96618103,46025283,6448.47,A_escoles_no_formals
2023,G46190740,46026858,20936.17,A_escoles_no_formals
2023,G98935521,46036694,9562.95,A_escoles_no_formals
2023,G03102522,03013935,38307.6,A_escoles_no_formals
2023,G46352480,46020583,4304.13,A_escoles_no_formals
2023,G98392350,46035768,34150.09,A_escoles_no_formals
2023,G46146759,46026214,64347.9,A_escoles_no_formals
2023,G97024343,46024576,18335.4,A_escoles_no_formals
2023,G03703543,03018179,7278.5,A_escoles_no_formals
2023,V46065348,46023705,25844.18,A_escoles_no_formals
2023,G98167570,46032858,20910.68,A_escoles_no_formals
2023,G12039392,12006007,82018.95,A_escoles_no_formals
2023,G12205936,12007127,25559.12,A_escoles_no_formals
2023,G46937306,46020972,15842.71,A_escoles_no_formals
2023,G03103462,03014964,38775.9,A_escoles_no_formals
2023,G96820386,46036207,11761.61,A_escoles_no_formals
2023,G12491643,12007048,29991.22,A_escoles_no_formals
2023,G03100609,03017916,77763.08,A_escoles_no_formals
2023,G12036166,12006366,26144.74,A_escoles_no_formals
2023,G46094736,46018825,45371.98,A_escoles_no_formals
2023,V46172540,46022749,19626.65,A_escoles_no_formals
2023,G96470695,46021472,7771.2,A_escoles_no_formals
2023,G12035762,12008478,4315.57,A_escoles_no_formals
2023,G54767744,03021646,23959.1,A_escoles_no_formals
2023,G03230935,03014435,37559.79,A_escoles_no_formals
2023,G12214565,12006101,16303.34,A_escoles_no_formals
2023,G46185724,46036876,9606.2,A_escoles_no_formals
2023,G46172524,46023729,16124.29,A_escoles_no_formals
2023,G46084679,46035616,24851.5,A_escoles_no_formals
2023,V12292652,12008211,11885.16,A_escoles_no_formals
2023,G03181278,03016031,3283.74,A_escoles_no_formals
2023,G46703039,46021198,23246.53,A_escoles_no_formals
2023,G12036240,12004758,32460.33,A_escoles_no_formals
2023,G12099891,12005180,57352.95,A_escoles_no_formals
2023,G53848313,03017141,8213.88,A_escoles_no_formals
2023,G54388285,03019883,55159.92,A_escoles_no_formals
2023,G03084977,03013984,35927.95,A_escoles_no_formals
2023,G98523418,46036013,33853.35,A_escoles_no_formals
2023,G46171849,46023730,16964.19,A_escoles_no_formals
2023,G46172896,46024591,12447.56,A_escoles_no_formals
2023,G46152450,46021733,15466.85,A_escoles_no_formals
2023,G46394128,46032846,19559.73,A_escoles_no_formals
2023,G96589031,46022026,27745.53,A_escoles_no_formals
2023,G12231551,12005465,17637.77,A_escoles_no_formals
2023,G03157294,03017527,19540.06,A_escoles_no_formals
2023,G03436367,03018911,33248.33,A_escoles_no_formals
2023,G97128045,46025295,39678.82,A_escoles_no_formals
2023,G96680772,46024618,8163.82,A_escoles_no_formals
2023,G12452090,12008201,24445.0,A_escoles_no_formals
2023,G46172391,46028144,5495.91,A_escoles_no_formals
2023,G96935507,46023742,51756.81,A_escoles_no_formals
2023,G46057725,46020601,48928.41,A_escoles_no_formals
2023,G46102497,46019911,66929.95,A_escoles_no_formals
2023,G03769791,03021683,13023.68,A_escoles_no_formals
2023,G12419362,12006721,12802.7,A_escoles_no_formals
2023,G03957214,03013820,58934.6,A_escoles_no_formals
2023,G03106903,03013406,17514.59,A_escoles_no_formals
2023,G03668613,03020851,28360.38,A_escoles_no_formals
2023,G03141926,03016043,18434.6,A_escoles_no_formals
2023,G46121174,46032007,24025.72,A_escoles_no_formals
2023,G96293840,46022750,47187.38,A_escoles_no_formals
2023,G46174405,46021061,35089.65,A_escoles_no_formals
2023,G46171757,46023754,16598.89,A_escoles_no_formals
