any,nom,cif,quantia,tipus_subvencio
2024,CANALS GUEROLA BIOSCA LUIS JOSÉ CECILIA SANTA MUSICAL UNION,G46563771,25781.8,A_escoles_no_formals
2024,BERENGUER D'EN CANET MUSICAL SOCIETAT,G96293840,40081.93,A_escoles_no_formals
2024,CAÑADA CANYADA MUSICAL,G13868823,18351.32,A_escoles_no_formals
2024,CARCAIXENT CARCAIXENTINA LIRA RECR MUSICAL SOCIETAT CARCAIXENTI CASINO LIRIA,G46174405,32292.68,A_escoles_no_formals
2024,CARCER VALLE MUSICAL ARTISTICO SOCIEDAD,G46171757,15826.58,A_escoles_no_formals
2024,CARLET L'ARTÍSTICA ARTISTICA MUSICAL AGRUPACION,G46172169,26164.51,A_escoles_no_formals
2024,CARLET MUSICAL UNIÓN UNIO SOCIETAT,G46171815,34745.79,A_escoles_no_formals
2024,CASTALLA SOGALL TRADICIONAL PERCUSSIO DOLÇAINERS COLLA,G53045134,40183.8,A_escoles_no_formals
2024,CASTALLA CECILIA SANTA FOIA,G53443024,38531.82,A_escoles_no_formals
2024,CASTELLS CASTELL PRIMITIVA MUSICAL UNION,G03243771,23488.44,A_escoles_no_formals
2024,CASTELLÓ LIRA CULTURAL ASSOCIACIO,G96399704,36260.5,A_escoles_no_formals
2024,CASTELLÓ METRÒNOM METRONOM ASOC,G12894317,18768.73,A_escoles_no_formals
2024,CASTELLÓ CALASANCIA LANDRIANI ESCOLAPIA COMUNIDAD CASA,R4600418J,14685.71,A_escoles_no_formals
2024,CASTELLÓ GRAU DEL MUSICAL UNIÓ UNIO,G12385340,12516.88,A_escoles_no_formals
2024,RUGAT CASTELLO BENICADELL,G96902705,18068.2,A_escoles_no_formals
2024,CATADAU MUSICAL ENSEÑANZA CENTRO,V96915566,18511.68,A_escoles_no_formals
2024,CATARROJA MUSICAL UNIÓ SOCIETAT UNIO,G46351367,26952.31,A_escoles_no_formals
2024,CATARROJA ARTESANA,G96495643,14079.96,A_escoles_no_formals
2024,CATI CATINENSE MUSICAL UNIÓN UNION,G12384905,7118.33,A_escoles_no_formals
2024,CATRAL CONSTANCIA MUSICAL UNION SOCIEDAD,G03111986,37243.36,A_escoles_no_formals
2024,FUENTES LAS CAUDETE VINO DEL TIERRA COMARCAL FEDE MUSICALES SOCIEDADES COORDINADORA,G96473111,3100.97,A_escoles_no_formals
2024,MAESTRE DEL CERVERA CECILIA SANTA MUSICAL UNIÓN UNION,G12225595,10046.57,A_escoles_no_formals
2024,CHELLA GRACIA VIRGEN MUSICAL UNION,G46174389,9160.0,A_escoles_no_formals
2024,CHELVA TURIA ALTO COMARCAL DEL MUSICALES SOC. COORD.,G96518089,69490.98,A_escoles_no_formals
2024,CHESTE LIRA BANDA ASOCIACION,G46206355,47854.58,A_escoles_no_formals
2024,CHIVA NAVARRO GARCÍA MAESTRO ARTISTICA MUSICAL SOCIEDAD,G46150843,34610.1,A_escoles_no_formals
2024,CHULILLA LIRA MUSICAL SOCIEDAD,G46168001,8515.54,A_escoles_no_formals
2024,CINCTORRES CINCTORRANA MUSICAL SOCIETAT,G12626933,4836.52,A_escoles_no_formals
2024,COCENTAINA CONTESTANA MUSICAL UNIÓN UNION,G03101649,15630.75,A_escoles_no_formals
2024,COCENTAINA MUSICAL L'ATENEU ATENEO ASOCIACION,G03188679,18988.49,A_escoles_no_formals
2024,CORBERA,G98573967,30149.98,A_escoles_no_formals
2024,PALLAS CORTES CORBINET,G96364336,7867.61,A_escoles_no_formals
2024,COX QUIRANTE ANTONIO,G53284246,18464.04,A_escoles_no_formals
2024,CREVILLENT MUSICAL UNIÓN UNION,G53077335,33763.11,A_escoles_no_formals
2024,CULLERA CHORNET MESTRE CULL CECILIA SANTA INSTRUCTIVA MUSICAL SOCIEDAD,G46150793,32537.6,A_escoles_no_formals
2024,CULLERA PELLICER OLIVERT M.JOAQUÍN ATENEO MUSICAL SOCIEDAD,G46086401,33134.76,A_escoles_no_formals
2024,DAIMUS DAIMUSENSE MUSICAL ASSOCIACIO,G46339180,15621.51,A_escoles_no_formals
2024,NUEVA DAYA RODRIGO MAESTRO,G53411120,6572.64,A_escoles_no_formals
2024,DENIA LATTUR MANUEL,G03999760,49613.96,A_escoles_no_formals
2024,DOLORES MUSICAL ESTUDIO CENTRO UNION SOCIEDAD,G03100625,11922.86,A_escoles_no_formals
2024,DOMEÑO CECILIA SANTA MUSICAL ARTÍST. SO. STA. ARTIST. SOC.,G97369425,9749.87,A_escoles_no_formals
2024,"ELIANA, MUSICAL UNIÓ L'ELIANA UNIO",G46558409,28511.91,A_escoles_no_formals
2024,"ELIANA, MONTEALEGRE MUSICAL ASOC",G98763964,65946.41,A_escoles_no_formals
2024,ENGUERA VENTURA MAESTRO,G96581376,22752.72,A_escoles_no_formals
2024,ESTIVELLA ARNAU DANIEL,G97031173,15790.6,A_escoles_no_formals
2024,FINESTRAT CAMPANA PUIG MUSICAL CENTRE DEL,G54442165,14666.94,A_escoles_no_formals
2024,FOIOS STA.CECILIA MUSICAL C.ART. CECILIA SANTA ARTISTIC CENTRE,G46173886,72883.18,A_escoles_no_formals
